,GDP,M1,rainfall,logGDP,log_rainfall,log_M1
1/10/2011,15785.3,1090266,13845.5,9.666834406,9.535715549,13.90193226
1/01/2012,15973.9,1084034,13969.1,9.678711419,9.544603026,13.89619983
1/04/2012,16121.9,1074939,14062.1,9.687933875,9.551238514,13.88777447
1/07/2012,16227.9,1114508,14286.5,9.694487262,9.567070314,13.92392361
1/10/2012,16297.3,1126748,14480.1,9.698754729,9.580530572,13.93484617
1/01/2013,16475.4,1157223,14565.7,9.709623638,9.586424729,13.96153373
1/04/2013,16541.4,1192510,14657.1,9.713621608,9.592680139,13.99157089
1/07/2013,16749.3,1228525,14979.3,9.726111745,9.614424527,14.02132482
1/10/2013,16999.9,1250289,15328.9,9.740962741,9.637495215,14.03888528
1/01/2014,17025.2,1281268,15341.1,9.742449878,9.63829078,14.06336077
1/04/2014,17285.6,1307131,15373.1,9.757629064,9.640374508,14.08334522
1/07/2014,17569.4,1329369,15770.5,9.773914031,9.665896385,14.10021495
1/10/2014,17692.2,1339559,15991.5,9.780879143,9.67981261,14.10785101
1/01/2015,17783.6,1374162,16033.9,9.786031963,9.68246051,14.13335465
1/04/2015,17998.3,1394104,16126.9,9.798032588,9.688243964,14.14776247
1/07/2015,18141.9,1427859,16413.5,9.805979459,9.705859446,14.17168668
1/10/2015,18222.8,1455008,16599.1,9.810428836,9.717103756,14.19052196
1/01/2016,18281.6,1471434,16648.3,9.813650369,9.720063388,14.20174799
1/04/2016,18436.5,1508271,16733.9,9.822087674,9.725191881,14.22647452
